,car,price,body,mileage,engV,engType,registration,year,drive
0,13,15500.0,0,68,2.5,1,1,2010,1
1,26,20500.0,3,173,1.8,1,1,2011,2
2,26,35000.0,2,135,5.5,3,1,2008,2
3,26,17800.0,5,162,1.8,0,1,2012,0
4,28,16600.0,0,83,2.0,3,1,2013,1
5,16,6500.0,3,199,2.0,3,1,2003,0
6,33,10500.0,4,185,1.5,0,1,2011,0
7,26,21500.0,3,146,1.8,1,1,2012,2
8,26,22700.0,3,125,2.2,0,1,2010,2
9,28,20447.154,0,0,1.2,3,1,2016,0
10,26,20400.0,3,190,1.8,1,1,2011,2
11,26,22500.0,3,164,1.8,1,1,2012,2
12,26,21500.0,3,159,1.8,1,1,2012,2
13,3,19999.0,3,290,4.8,3,1,2006,2
15,26,99999.0,0,0,3.0,3,1,2016,1
16,28,16600.0,0,83,2.0,3,1,2013,1
17,3,73900.0,3,57,4.4,3,1,2013,2
18,28,26033.553,0,0,1.6,0,1,2016,1
20,3,66500.0,0,1,2.0,0,1,2016,1
21,3,65099.0,0,0,2.0,0,1,2016,1
22,3,23900.0,0,235,3.0,0,1,2007,1
23,26,69999.0,0,0,2.2,0,1,2016,1
24,3,66200.0,0,70,3.0,0,1,2014,1
25,3,63000.0,0,0,2.0,0,1,2015,1
27,43,10700.0,3,147,2.0,3,1,2007,0
28,2,2600.0,4,273,2.5,0,0,1999,0
29,7,13700.0,3,70,2.4,3,1,2008,0
30,43,8999.0,3,120,2.0,3,1,2008,0
31,19,18777.0,3,82,3.0,3,1,2008,2
32,2,37000.0,3,37,2.8,3,1,2012,1
34,2,3850.0,4,215,2.5,0,0,2002,0
35,26,20400.0,3,190,1.8,1,1,2011,2
36,3,1900.0,3,300,2.5,0,0,1997,2
38,26,99999.0,0,0,2.99,0,1,2016,1
39,26,70999.0,0,0,2.2,0,1,2016,1
40,3,63500.0,0,1,2.0,0,1,2016,1
41,3,59900.0,0,30,2.0,0,1,2016,1
42,27,9200.0,0,110,2.4,3,1,2006,1
43,28,20241.897,0,0,1.6,3,1,2015,0
44,26,14490.0,4,212,2.2,0,1,2008,2
46,43,8999.0,3,120,1.9,0,1,2007,0
47,2,3650.0,3,240,2.5,0,0,2000,0
48,27,12000.0,3,121,2.4,1,1,2009,0
49,21,20633.886,0,0,1.7,0,1,2016,0
50,32,55000.0,0,105,3.0,0,1,2012,1
51,21,18000.0,0,64,2.0,0,1,2011,1
52,21,21700.0,0,58,2.0,0,1,2012,1
53,43,2400.0,4,320,1.9,0,0,2000,0
54,43,2350.0,3,300,1.9,0,0,1998,0
