,car,body,mileage,engV,engType,registration,year,drive
4768,27,2,350,1.8,3,1,1990,0
7720,26,1,140,1.7,1,1,2007,0
4300,29,3,285,1.6,3,1,2001,0
8408,12,5,110,1.9,0,1,2008,0
2919,43,3,330,2.8,1,1,1994,0
6155,43,1,140,1.4,3,0,2002,0
8297,14,3,25,2.4,3,1,2008,2
7938,17,0,22,2.0,3,1,2011,1
8559,43,3,240,1.6,3,1,2010,0
3246,42,4,90,1.6,3,1,2007,0
6052,16,1,300,1.5,3,1,1987,0
6377,26,5,300,2.2,0,1,2007,2
7855,31,1,216,1.1,3,1,2005,0
2777,21,0,129,2.0,1,1,2006,0
505,43,0,30,3.0,0,1,2015,1
6859,33,4,200,1.5,0,1,2008,0
2751,17,2,72,2.0,3,1,2008,0
8522,13,2,77,1.6,3,1,2012,0
3086,43,5,237,2.0,0,1,2010,0
267,13,1,71,1.6,1,1,2013,0
5030,22,0,38,2.2,0,1,2013,1
2042,21,0,114,2.5,0,1,2008,1
2966,3,4,254,2.8,1,0,1997,2
1874,40,0,152,4.0,1,1,2008,1
5663,33,0,0,1.5,0,1,2016,1
538,35,4,175,1.4,3,1,2004,0
500,33,5,73,1.5,0,1,2008,0
596,17,0,78,2.0,3,1,2009,1
1883,25,4,250,2.0,0,0,2000,0
1168,23,0,180,3.5,1,1,2006,1
7933,42,3,87,1.6,3,1,2008,0
818,17,0,1,2.0,3,1,2016,1
4081,27,1,65,1.3,3,1,2010,0
514,2,4,270,2.5,0,0,2001,0
8517,40,3,179,2.4,3,1,2006,0
2588,2,3,167,3.0,3,1,2009,1
8161,3,0,10,2.0,0,1,2016,1
1951,40,0,184,2.7,1,1,2005,1
4253,40,3,154,1.6,1,1,2008,0
2136,30,2,37,6.0,3,1,2006,2
4154,43,1,300,1.9,0,0,1999,0
8843,40,0,115,2.0,3,1,2007,1
7858,23,3,150,4.6,3,1,2007,2
5544,3,3,134,2.0,0,1,2010,2
8798,23,3,7,2.5,3,1,2014,2
3823,31,2,126,1.6,0,1,2012,0
4576,29,5,164,2.0,0,1,2011,0
7098,43,0,249,5.0,0,1,2005,1
1047,27,0,187,2.4,1,1,2008,1
4027,43,5,312,2.5,0,1,2000,1
6460,35,3,102,1.8,3,1,2013,0
7303,40,0,144,4.0,1,1,2008,1
6897,17,2,82,2.0,1,1,2008,0
5044,17,3,82,1.4,1,1,2009,0
6208,10,3,46,1.5,1,1,2013,0
5621,42,0,1,1.7,3,1,1979,1
5701,2,3,340,2.6,1,1,1997,0
3431,42,3,73,1.6,3,1,2011,0
8374,29,2,250,2.0,3,1,1992,0
5709,3,3,80,2.0,3,1,2012,2
4911,12,4,154,1.3,0,1,2009,0
8816,33,5,106,2.0,0,1,2013,0
4628,13,0,0,2.0,0,1,2016,1
6161,18,0,118,3.5,3,1,2005,1
